iter	Passed	Remaining
0	1531	1223978
1	2131	850371
2	2613	694304
3	3140	625058
4	4024	639902
5	7042	931953
6	9446	1070161
7	11314	1120150
8	11507	1011387
9	12753	1007494
10	12970	930310
11	16719	1097911
12	18229	1103575
13	18447	1035686
14	18784	983056
15	19228	942203
16	19506	898456
17	20475	889547
18	21316	876227
19	21879	853307
20	22173	822530
21	22582	798612
22	22726	767751
23	23172	749258
24	23712	735096
25	24096	717320
26	24994	715578
27	25451	701720
28	26348	700506
29	27250	699428
30	27880	691609
31	28214	677151
32	28416	660478
33	29189	657628
34	29253	639404
35	29354	622963
36	30019	619046
37	30729	616209
38	31093	606730
39	31288	594487
40	31347	580302
41	31464	567865
42	31935	562209
43	32501	558434
44	32574	546528
45	32640	535013
46	32942	527786
47	33105	518660
48	33354	511208
49	33587	503806
50	34344	504400
51	34440	495408
52	34601	487688
53	35293	487569
54	36075	488664
55	36283	482056
56	36998	482275
57	37156	475344
58	37452	470380
59	38100	469910
60	38746	469408
61	39428	469330
62	40020	468174
63	40698	468038
64	41388	468004
65	42005	467152
66	42621	466293
67	43260	465690
68	43894	465025
69	44459	463645
70	44987	461916
71	45534	460406
72	46159	459693
73	46769	458842
74	47339	457614
75	47997	457242
76	48566	456017
77	49235	455744
78	49912	455530
79	50581	455231
80	51165	454168
81	51777	453367
82	52353	452260
83	52969	451504
84	53537	450347
85	54200	449992
86	55079	451400
87	55866	452007
88	56638	452468
89	57408	452892
90	58200	453449
91	58836	452784
92	59496	452304
93	60149	451758
94	60785	451089
95	61361	449981
96	61983	449224
97	62628	448625
98	63281	448085
99	63916	447415
100	64625	447258
101	65453	447909
102	66101	447311
103	66881	447590
104	67550	447121
105	68084	445758
106	68739	445199
107	69400	444678
108	70070	444205
109	70755	443828
110	71416	443297
111	72014	442376
112	72640	441631
113	73393	441650
114	74044	441047
115	74614	439969
116	75179	438869
117	75818	438203
118	76394	437181
119	77105	436931
120	77752	436315
121	78429	435863
122	79135	435569
123	79831	435212
124	80634	435425
125	81706	437066
126	82659	438027
127	83328	437472
128	84294	438461
129	85164	438922
130	85919	438778
131	86615	438324
132	87369	438162
133	87985	437302
134	88612	436498
135	89383	436400
136	90064	435861
137	90718	435186
138	91354	434424
139	92018	433799
140	92685	433188
141	93341	432528
142	94166	432637
143	94806	431895
144	95486	431333
145	96132	430619
146	96753	429795
147	97374	428974
148	97988	428123
149	98594	427242
150	99309	426834
151	99920	425977
152	100625	425521
153	101225	424622
154	101880	423955
155	102572	423440
156	103294	423046
157	103916	422242
158	104621	421775
159	105166	420665
160	105755	419739
161	106423	419125
162	107082	418476
163	107790	418016
164	108379	417096
165	109087	416636
166	109754	416014
167	110432	415437
168	111124	414907
169	111808	414350
170	112440	413595
171	113169	413201
172	113754	412276
173	114405	411595
174	115065	410947
175	115704	410224
176	116403	409713
177	117146	409353
178	117764	408556
179	118406	407844
180	119091	407281
181	119739	406588
182	120357	405795
183	120972	404993
184	121706	404591
185	122273	403633
186	122974	403120
187	123645	402505
188	124295	401823
189	125703	403572
190	126532	403445
191	127316	403168
192	128097	402875
193	128752	402187
194	129394	401454
195	130053	400777
196	130777	400300
197	131438	399626
198	132106	398974
199	132803	398409
200	133389	397512
201	134086	396948
202	134707	396158
203	135403	395591
204	136369	395802
205	137183	395569
206	137803	394769
207	138503	394201
208	139125	393412
209	139757	392651
210	140424	391990
211	141060	391244
212	141617	390278
213	142504	390221
214	143314	389949
215	143954	389209
216	144587	388453
217	145211	387675
218	145832	386889
219	146402	385970
220	147128	385464
221	147854	384953
222	148570	384416
223	149295	383903
224	149967	383249
225	150637	382593
226	151342	382023
227	151991	381310
228	152559	380399
229	153176	379611
230	153897	379080
231	154567	378424
232	155315	377956
233	156021	377385
234	156619	376554
235	157593	376621
236	158814	377268
237	160145	378158
238	161177	378328
239	162625	379459
240	163562	379384
241	164734	379842
242	165668	379741
243	166727	379920
244	167529	379505
245	168201	378795
246	168872	378083
247	169595	377486
248	170293	376833
249	170980	376158
250	171759	375680
251	172431	374969
252	173158	374378
253	173927	373876
254	174696	373371
255	175329	372576
256	175995	371849
257	176753	371318
258	177468	370696
259	178172	370050
260	178907	369468
261	179617	368833
262	180269	368079
263	181078	367644
264	181764	366957
265	182463	366298
266	183179	365672
267	183861	364977
268	184444	364089
269	185225	363591
270	186007	363092
271	186714	362444
272	187475	361902
273	188223	361334
274	188998	360814
275	189642	360046
276	190285	359275
277	190951	358549
278	191825	358211
279	192594	357676
280	193465	357326
281	194219	356757
282	195088	356398
283	195870	355878
