iter	Logloss
0	0.5038384075
1	0.4114535926
2	0.3732060783
3	0.3517815785
4	0.3211957331
5	0.2896379779
6	0.2700841264
7	0.2565935077
8	0.2561051526
9	0.2443524992
10	0.2441187939
11	0.2365102629
12	0.231241929
13	0.2309033822
14	0.2294725962
15	0.2286578381
16	0.2278113743
17	0.2255390334
18	0.2223307245
19	0.220336334
20	0.2194790184
21	0.2164476245
22	0.2163561415
23	0.2154068071
24	0.2152482285
25	0.2145293079
26	0.2127931255
27	0.2111831446
28	0.2099267475
29	0.2082431116
30	0.2076472895
31	0.2064974554
32	0.2052650812
33	0.2050741218
34	0.2050740769
35	0.2050200521
36	0.204791292
37	0.2016492434
38	0.2015205154
39	0.2015204385
40	0.2015204027
41	0.2011306843
42	0.2001042714
43	0.1982273154
44	0.1982271708
45	0.1982271004
46	0.1966901513
47	0.1959458738
48	0.1958470662
49	0.1951009321
50	0.1942125913
51	0.1941898012
52	0.1937240647
53	0.1932031106
54	0.1924634188
55	0.1918292384
56	0.1899821497
57	0.1894218335
58	0.1887572214
59	0.1872784727
60	0.1860478721
61	0.1831539216
62	0.1802836383
63	0.1769517496
64	0.1744810229
65	0.1731885842
66	0.1713337846
67	0.1695303985
68	0.1680095828
69	0.1669877617
70	0.1662165164
71	0.1648824633
72	0.1638897157
73	0.1630797044
74	0.1623804538
75	0.16169176
76	0.1609180085
77	0.1599375141
78	0.1593836224
79	0.1587705605
80	0.1581185505
81	0.1574890866
82	0.1571632465
83	0.1564797661
84	0.1559313748
85	0.1554073774
86	0.1549158619
87	0.154320755
88	0.1535272263
89	0.1527284714
90	0.1520728285
91	0.1517256579
92	0.151404593
93	0.1509069001
94	0.1506150978
95	0.1503763719
96	0.1499154174
97	0.1492451302
98	0.148896986
99	0.1485808649
100	0.1482943284
101	0.1478342625
102	0.1475823895
103	0.1470597964
104	0.146700209
105	0.1464684402
106	0.145959565
107	0.1456200153
108	0.1451850504
109	0.1448584972
110	0.1445702009
111	0.1442023807
112	0.1439251165
113	0.1432977002
114	0.1430223097
115	0.1426041223
116	0.1424052302
117	0.1420930262
118	0.141907051
119	0.1414300005
120	0.1410740637
121	0.1407511972
122	0.140335202
123	0.1400365047
124	0.1398348889
125	0.1395194941
126	0.1391407031
127	0.1387657751
128	0.1384183349
129	0.1379813409
130	0.1378574985
131	0.1376611201
132	0.1374252312
133	0.1371782776
134	0.1370368463
135	0.1367933787
136	0.1364371668
137	0.1361295431
138	0.1358690231
139	0.1355625772
140	0.1353407247
141	0.1350850641
142	0.1349021045
143	0.1347077971
144	0.1343280659
145	0.1341401999
146	0.1339400959
147	0.1335794503
148	0.1332752833
149	0.133006056
150	0.1326872852
151	0.1325291707
152	0.1322574361
153	0.1319659101
154	0.1317326504
155	0.1315657403
156	0.1314518556
157	0.1312374979
158	0.1311003671
159	0.1308299405
160	0.1305910863
161	0.1304300801
162	0.1300964842
163	0.129969431
164	0.1297822005
165	0.1296419769
166	0.1293358987
167	0.1291696019
168	0.1289431595
169	0.1285938057
170	0.1281129322
171	0.1278041565
172	0.1276296507
173	0.1274526204
174	0.1272937395
175	0.1270331315
176	0.1269108061
177	0.1265875975
178	0.1263165578
179	0.1261287148
180	0.1258324349
181	0.1256577962
182	0.1255314123
183	0.1253651796
184	0.1249583798
185	0.1247940969
186	0.1244490231
187	0.1242400337
188	0.1240686293
189	0.1238191307
190	0.1236608027
191	0.1235154745
192	0.123277463
193	0.1230425235
194	0.1229112709
195	0.1226982424
196	0.1225891592
197	0.1224221886
198	0.1222203324
199	0.1220689958
200	0.1218902422
201	0.1216821507
202	0.1213817163
203	0.1210817652
204	0.1207959601
205	0.1206050769
206	0.1203834131
207	0.1201420874
208	0.1199041069
209	0.1198712476
210	0.1197769009
211	0.1195949957
212	0.1194744281
213	0.1193063583
214	0.1190958373
215	0.1189519244
216	0.1187864031
217	0.1186378106
218	0.118412732
219	0.1182327755
220	0.1181061255
221	0.118024675
222	0.1178494925
223	0.1178201528
224	0.1176671372
225	0.1174438053
226	0.1174356134
227	0.1174353427
228	0.1172754975
229	0.1172754282
230	0.1172405109
231	0.1171829602
232	0.1169533999
233	0.1165653079
234	0.1163556319
235	0.1161054873
236	0.1158543454
237	0.1155696644
238	0.1154884693
239	0.1154310464
240	0.1152576423
241	0.1148387957
242	0.1146195874
243	0.1144115144
244	0.1140779445
245	0.1139147426
246	0.1136438939
247	0.1135403945
248	0.1134397153
249	0.113281517
250	0.1132672883
251	0.1130670915
252	0.1128290242
253	0.112605816
254	0.1124616619
255	0.1122605141
256	0.1121251935
257	0.1120202208
258	0.1119041572
259	0.1117679879
260	0.1115774627
261	0.1114654378
262	0.1112997943
263	0.1111769968
264	0.1109622288
265	0.1108337023
266	0.1106105378
267	0.1103326399
268	0.1101371951
269	0.1101125074
270	0.1100207181
271	0.1097225205
272	0.1095428326
273	0.1094752924
274	0.1093801775
275	0.1092084068
276	0.1090781411
277	0.1089188859
278	0.1087737013
279	0.1087374522
280	0.1084811248
281	0.108317323
282	0.1080036246
283	0.1078947448
