iter	Logloss
0	0.5642952223
1	0.4920322435
2	0.4334531966
3	0.3960478705
4	0.3743345567
5	0.3462662857
6	0.3363450739
7	0.3140838784
8	0.3020619013
9	0.2880322956
10	0.2781320916
11	0.274317322
12	0.2651776434
13	0.2600737707
14	0.2555629902
15	0.2516253462
16	0.2491354511
17	0.2465095592
18	0.2455059409
19	0.2440593957
20	0.2396614938
21	0.2395119657
22	0.2377592974
23	0.2364278662
24	0.2358268743
25	0.2347168657
26	0.2332748171
27	0.2304329524
28	0.2298042392
29	0.2297186154
30	0.2266251428
31	0.2266249361
32	0.2258626082
33	0.2234979469
34	0.2223378488
35	0.2211427984
36	0.219958345
37	0.2193470901
38	0.2183166875
39	0.2179335852
40	0.2170735379
41	0.2169908005
42	0.2145561445
43	0.2140938304
44	0.2126723285
45	0.2117033563
46	0.2116638268
47	0.2107676405
48	0.2097388981
49	0.2089197754
50	0.2088749691
51	0.2086943748
52	0.2085987269
53	0.2085987146
54	0.2085688433
55	0.2085615833
56	0.2083401537
57	0.2079573742
58	0.207881524
59	0.2075488279
60	0.2075488253
61	0.2075349227
62	0.2050140688
63	0.2049925435
64	0.2049489195
65	0.2040302659
66	0.2037084763
67	0.202916142
68	0.2022049114
69	0.2021514109
70	0.2014450351
71	0.2006086122
72	0.1993898983
73	0.1993892806
74	0.1989901536
75	0.198596365
76	0.1985210601
77	0.1985094543
78	0.197968061
79	0.1977547442
80	0.1967338851
81	0.1961005845
82	0.1960647783
83	0.1952836277
84	0.1950083054
85	0.1945307267
86	0.1938904047
87	0.1930409914
88	0.1927313844
89	0.1919850312
90	0.1907289082
91	0.1904584446
92	0.1896600762
93	0.1891336088
94	0.1878032738
95	0.1875565356
96	0.1867769083
97	0.1854465667
98	0.1838191365
99	0.1826214575
100	0.1807129385
101	0.1797485119
102	0.178630346
103	0.1778450897
104	0.1768707834
105	0.1764339751
106	0.175124293
107	0.1745115408
108	0.1732077425
109	0.1724130161
110	0.1716030316
111	0.1710796279
112	0.170644541
113	0.1701337041
114	0.1695291418
115	0.1692238638
116	0.1686792787
117	0.168019418
118	0.1675124573
119	0.1670398768
120	0.1666583539
121	0.1661415574
122	0.1656481625
123	0.1652629081
124	0.1648168685
125	0.1645072551
126	0.164094033
127	0.1635790991
128	0.1630685139
129	0.1626858245
130	0.1623880993
131	0.1619929583
132	0.161694373
133	0.1614973206
134	0.1612563901
135	0.1609651186
136	0.1606255797
137	0.1604223154
138	0.1601873189
139	0.1598663595
140	0.1595016177
141	0.1592535662
142	0.1590539629
143	0.1587535252
144	0.1584897206
145	0.1582350382
146	0.1579744115
147	0.1576384689
148	0.1574177316
149	0.1572366101
150	0.1570414931
151	0.1567485891
152	0.1566068401
153	0.156285874
154	0.1559543094
155	0.1557733654
156	0.1554911232
157	0.1553654239
158	0.1552056248
159	0.1550298576
160	0.1549133119
161	0.1547346843
162	0.1545342232
163	0.1543851155
164	0.1541854419
165	0.1540824708
166	0.1538619224
167	0.1536167245
168	0.1534950151
169	0.1533392746
170	0.1531159037
171	0.1529960748
172	0.1528143785
173	0.1526041446
174	0.1524996547
175	0.1523943204
176	0.1521604442
177	0.1520160633
178	0.1519248555
179	0.151807848
180	0.1515710118
181	0.1514205373
182	0.151257216
183	0.1511519391
184	0.1510475608
185	0.150943415
186	0.1507088604
187	0.150591686
188	0.1504464366
189	0.1502724852
190	0.1501266604
191	0.1499918665
192	0.1498605082
193	0.1497470059
194	0.1496187547
195	0.1495181878
196	0.1493660807
197	0.1492242547
198	0.149130225
199	0.1489905493
200	0.148883942
201	0.1487852155
202	0.1486789344
203	0.1485899576
204	0.1484508633
205	0.1482063128
206	0.1481046516
207	0.1479887087
208	0.1478370958
209	0.147645231
210	0.1474745026
211	0.1473718561
212	0.1471717474
213	0.1470263667
214	0.1469317051
215	0.1467718904
216	0.1467038334
217	0.1464603793
218	0.1462902055
219	0.1461374805
220	0.1460142939
221	0.1459339581
222	0.1458605735
223	0.1457246508
224	0.1456389919
225	0.1455352868
226	0.1454446741
227	0.1453474601
228	0.145182628
229	0.1450446184
230	0.1449535401
231	0.1448313299
232	0.1447536293
233	0.1446366359
234	0.1444705259
235	0.1443928299
236	0.1443204883
237	0.1442765433
238	0.1441862631
239	0.1441078253
240	0.1439897665
241	0.1439054683
242	0.1437844151
243	0.1436322735
244	0.1434879198
245	0.1433277613
246	0.1432639112
247	0.1431949306
248	0.1430673934
249	0.1429634148
250	0.1428902189
251	0.1428273009
252	0.1427617724
253	0.1427169248
254	0.1425720685
255	0.1425146505
256	0.1424269976
257	0.1423631152
258	0.1422794116
259	0.1421782114
260	0.1421782114
261	0.1421395332
262	0.1420548334
263	0.1420548051
264	0.1419668197
265	0.1419416159
266	0.1418525493
267	0.1417615602
268	0.1416670392
269	0.1415709522
270	0.1415134125
271	0.141410811
272	0.1412727993
273	0.1411718655
274	0.1410760756
275	0.1410118917
276	0.1408974755
277	0.1407647679
278	0.1406959738
279	0.1406096485
280	0.1405325685
281	0.1404399115
282	0.1403908402
283	0.1402738647
284	0.1402164426
285	0.1401215937
286	0.1400275467
287	0.1400275451
288	0.1399847192
289	0.1399501929
290	0.1398393216
291	0.1397712303
292	0.1397050535
293	0.1396221396
294	0.1395395135
295	0.139455408
296	0.1393580265
297	0.139244979
298	0.1390692329
299	0.138961686
300	0.1388845585
301	0.1388138033
302	0.1387358813
303	0.1387159513
304	0.1386523758
305	0.1385769181
306	0.1384569103
307	0.1383575578
308	0.1382784971
309	0.1381893691
310	0.1380888927
311	0.1380240691
312	0.1379240379
313	0.13786466
314	0.1377400728
315	0.1376520857
316	0.137607177
317	0.1375418045
318	0.1374863943
319	0.1374454653
320	0.1373503714
321	0.1372973129
322	0.137233137
323	0.1371665075
324	0.1371091096
325	0.1370183776
326	0.1369493277
327	0.1368874601
328	0.136842706
329	0.136765921
330	0.1366934094
331	0.136661023
332	0.1365720108
333	0.1365301888
334	0.1364825769
335	0.1364097144
336	0.1363737785
337	0.136326387
338	0.1362621529
339	0.1361792969
340	0.1361096026
341	0.1360465066
342	0.1359707669
343	0.1358480313
344	0.1357841006
345	0.1356983677
346	0.1356541292
347	0.1355914541
348	0.1354757113
349	0.1353873869
350	0.1353369577
351	0.1352401653
352	0.1351548164
353	0.1350871074
354	0.1350323427
355	0.1349793298
356	0.1349466114
357	0.1349218191
358	0.1348901697
359	0.1347832302
360	0.1347321297
361	0.1346834271
362	0.1346326222
363	0.1345605988
364	0.1344639382
365	0.1344233649
366	0.1343480879
367	0.1343026503
368	0.1341571609
369	0.1340502255
370	0.134007849
371	0.1339291145
372	0.1338759983
373	0.1338071835
374	0.1337523137
375	0.1337017588
376	0.1336138589
377	0.1335223454
378	0.1334714222
379	0.1333592979
380	0.1333023719
381	0.1332784553
382	0.1331990837
383	0.1330858287
384	0.1330352296
385	0.1329672813
386	0.1328614533
387	0.1327867642
388	0.1327290668
389	0.1327199336
390	0.1326873271
391	0.1325738846
392	0.1324924308
393	0.1323924781
394	0.1323235859
395	0.132284117
396	0.1322841035
397	0.1322545009
398	0.13218759
399	0.1321021368
400	0.1321015244
401	0.1320040635
402	0.1318945001
403	0.1318320159
404	0.1317883349
405	0.1317420253
406	0.1316745793
407	0.1316356416
408	0.1316190242
409	0.1316121488
410	0.1315617732
411	0.1315277495
412	0.131440662
413	0.131350323
414	0.1312895599
415	0.1312395805
416	0.1311564299
417	0.1310983649
418	0.1310784162
419	0.1309974966
420	0.1308970018
421	0.1308612984
422	0.1308199487
423	0.1307875277
424	0.1307252281
425	0.1306784216
426	0.1306446591
427	0.1305967295
428	0.1305525608
429	0.1304980281
430	0.130466846
431	0.1304147005
432	0.1303644301
433	0.1303155694
434	0.130242709
435	0.1302426831
436	0.1302403707
437	0.1302220538
438	0.1301899554
439	0.1301283595
440	0.1301205124
441	0.130088084
442	0.1299863613
443	0.1299584501
444	0.1298983844
445	0.1298500534
446	0.1298044542
447	0.1298008745
448	0.1297778351
449	0.1297169828
450	0.1296005799
451	0.129514082
452	0.1294559778
453	0.1293684414
454	0.1293214558
455	0.1292407152
456	0.129175139
457	0.1291500117
458	0.1291390786
459	0.1290922286
460	0.1290543286
461	0.1289941927
462	0.1289530224
463	0.1288873498
464	0.1288576766
465	0.1287451716
466	0.1286794559
467	0.128630047
468	0.1285353263
469	0.1285131747
470	0.1284745025
471	0.1284522548
472	0.1283784532
473	0.1283391881
474	0.12827828
475	0.1282455924
476	0.1282138353
477	0.1281751495
478	0.1281475726
479	0.128146154
480	0.1281035818
481	0.1280217761
482	0.1279441264
483	0.1278619386
484	0.1277370771
485	0.1277032819
486	0.1276135848
487	0.1275349891
488	0.1274720913
489	0.1274178816
490	0.1273872458
491	0.1273324347
492	0.127331303
493	0.1272549596
494	0.127138739
495	0.1270946803
496	0.1270548715
497	0.1269889681
498	0.1269064649
499	0.126834658
500	0.1267347171
501	0.1266817831
502	0.1266298331
503	0.1266298118
504	0.1265791859
505	0.1265318858
506	0.1264950588
507	0.1264300731
508	0.1264196858
509	0.1263372671
510	0.1262664924
511	0.1261984731
512	0.1261381634
513	0.1261240092
514	0.1260801158
515	0.1260451715
516	0.1259968314
517	0.1259069991
518	0.1258926984
519	0.1257621699
520	0.1257136571
521	0.125690015
522	0.1256856523
523	0.1256667582
524	0.1255466508
525	0.1255346098
526	0.125456107
527	0.1254179011
528	0.1253402656
529	0.1253394209
530	0.1253107259
531	0.1252869166
532	0.1252628632
533	0.1252174346
534	0.1251288635
535	0.1251010292
536	0.1250169066
537	0.1250136134
538	0.1249695767
539	0.124926844
540	0.124874027
541	0.124796707
542	0.1247675904
543	0.1247335275
544	0.1246884949
545	0.124649116
546	0.1245780769
547	0.1244967441
548	0.1244859328
549	0.1244310057
550	0.1243669537
551	0.1243599358
552	0.1243384514
553	0.1243265539
554	0.124274715
555	0.1241928844
556	0.1241423073
557	0.1241157003
558	0.1240955733
559	0.1240202549
560	0.124000349
561	0.1239982652
562	0.1239750362
563	0.1239380068
564	0.1238553107
565	0.1238363474
566	0.1237935311
567	0.1237759688
568	0.1237439226
569	0.123697149
570	0.1236553846
571	0.1235991426
572	0.1235325715
573	0.1235015677
574	0.1234301409
575	0.1233828356
576	0.1233646625
577	0.1233640257
578	0.1233084446
579	0.1232388041
580	0.123198681
581	0.1231578197
582	0.1231181487
583	0.1231017914
584	0.1230277305
585	0.1229737431
586	0.1229534695
587	0.1228936685
588	0.1228251062
589	0.1228248812
590	0.122824266
591	0.1227836667
592	0.122741994
593	0.1227113945
594	0.1226905862
595	0.12264235
596	0.1226150713
597	0.1225716959
598	0.1225248874
599	0.1224067952
600	0.1223514063
601	0.1223513994
602	0.1223164203
603	0.122295107
604	0.1222165277
605	0.1221959459
606	0.1221856594
607	0.1221323453
608	0.1220976387
609	0.1220527139
610	0.1220299528
611	0.1219750005
612	0.1219499186
613	0.1219103219
614	0.1218987748
615	0.1218203463
616	0.1218203045
617	0.1217999308
618	0.1216992802
619	0.1216941307
620	0.1216577759
621	0.1216319205
622	0.1215657699
623	0.121500529
624	0.1214638292
625	0.1213979111
626	0.1213645712
627	0.1213525553
628	0.1212923641
629	0.1211996555
630	0.1211581113
631	0.1211371244
632	0.1210743486
633	0.1210497171
634	0.1210286833
635	0.1209630148
636	0.1209285519
637	0.1208856349
638	0.1208461308
639	0.1208024253
640	0.120748851
641	0.1207137248
642	0.1206983863
643	0.1206716416
644	0.1206390489
645	0.120583794
646	0.1205593769
647	0.1205329156
648	0.1205044568
649	0.1204157496
650	0.1203962739
651	0.1203550559
652	0.1202696302
653	0.1202323192
654	0.1201728344
655	0.1201506176
656	0.1201156664
657	0.1201117387
658	0.1200386288
659	0.1200158634
660	0.1200149801
661	0.1199962402
662	0.1199636813
663	0.1199322742
664	0.1199030556
665	0.1198723511
666	0.1198661283
667	0.1198160498
668	0.1197591233
669	0.1197151622
670	0.1196832865
671	0.1196825081
672	0.1196822802
673	0.1196028507
674	0.1195697609
675	0.1195122918
676	0.1194779261
677	0.1194391922
678	0.1194391806
679	0.1193736972
680	0.1193338215
681	0.1193033757
682	0.1193033757
683	0.1192764376
684	0.1192346869
685	0.1191474692
686	0.1190929639
687	0.1190442598
688	0.1190180318
689	0.1190031259
690	0.1189726111
691	0.1189478195
692	0.1189046458
693	0.1188574797
694	0.1187891696
695	0.1187810771
696	0.1187509504
697	0.1187042556
698	0.1186637777
699	0.118651002
700	0.1186509214
701	0.118650902
702	0.1186249027
703	0.1186247554
704	0.1186141389
705	0.1185716612
706	0.1185387779
707	0.1184941138
708	0.1184331332
709	0.1183531686
710	0.1183082168
711	0.1182509183
712	0.1182189866
713	0.118155106
714	0.1180202502
715	0.1179534206
716	0.1179366032
717	0.1179084159
718	0.1178858651
719	0.117865325
720	0.1178275003
721	0.1177835105
722	0.1177350898
723	0.1176972199
724	0.1176721635
725	0.1176349108
726	0.1176196492
727	0.1175646572
728	0.1175218719
729	0.1174575029
730	0.1174102371
731	0.1173710692
732	0.1173223138
733	0.1172472656
734	0.1171826992
735	0.1171523508
736	0.1171312705
737	0.1170469229
738	0.1169907842
739	0.1169617977
740	0.1169304929
741	0.1168844858
742	0.1168434789
743	0.1168247801
744	0.1168004784
745	0.1167655979
746	0.1167526504
747	0.1167454051
748	0.1166911697
749	0.1166375132
750	0.1166042036
751	0.1165090498
752	0.1164968796
753	0.1164781916
754	0.1164363472
755	0.1163968482
756	0.1163779755
757	0.1162943824
758	0.1162412352
759	0.1161829359
760	0.1161079169
761	0.1160499573
762	0.1160360115
763	0.1159864275
764	0.1159662459
765	0.11594378
766	0.115871749
767	0.1158288433
768	0.1157673594
769	0.1157662387
770	0.1157352856
771	0.1156708892
772	0.1156481169
773	0.1156221194
774	0.115568864
775	0.1155593867
776	0.1154792243
777	0.1154781112
778	0.1154574306
779	0.1154422622
780	0.1153843297
781	0.1153139641
782	0.1152534888
783	0.1152044672
784	0.1151618509
785	0.1150955077
786	0.1150782667
787	0.1150549191
788	0.1150507956
789	0.1150168285
790	0.1149918608
791	0.1149279009
792	0.1148689502
793	0.1148376422
794	0.1147825888
795	0.1147093686
796	0.1146897958
797	0.1146042785
798	0.1146042649
799	0.1145380113
