iter	Logloss
0	0.5642798232
1	0.4803565051
2	0.4344431035
3	0.3870294412
4	0.3648223633
5	0.3356875332
6	0.3251160904
7	0.3094356901
8	0.2952008287
9	0.2897858113
10	0.2802499085
11	0.2696050393
12	0.2662373099
13	0.2572635843
14	0.2544670358
15	0.2519997401
16	0.2482736338
17	0.246778179
18	0.2440168487
19	0.241917705
20	0.2400621242
21	0.237548581
22	0.2369909654
23	0.234967728
24	0.2334255565
25	0.2306660373
26	0.228093772
27	0.2271296559
28	0.2267407518
29	0.2249738721
30	0.2234494428
31	0.2231640171
32	0.222339593
33	0.220724111
34	0.2202173226
35	0.2202169093
36	0.2180178499
37	0.2179403675
38	0.2174293353
39	0.21640025
40	0.2157954426
41	0.2152619216
42	0.2149761195
43	0.2149612146
44	0.2149338396
45	0.2141141717
46	0.213698852
47	0.2124500339
48	0.2115028118
49	0.2108301169
50	0.2107567793
51	0.210655533
52	0.2102772678
53	0.2082594527
54	0.2082594459
55	0.208259439
56	0.208255602
57	0.2078102509
58	0.2075648649
59	0.2060975409
60	0.2057320571
61	0.2045695939
62	0.204037943
63	0.2038805788
64	0.2038413521
65	0.2027896908
66	0.2009602697
67	0.2009595947
68	0.200341965
69	0.1998438083
70	0.1997688137
71	0.1989177794
72	0.1983076604
73	0.1980309345
74	0.1980199575
75	0.1971702121
76	0.1967361175
77	0.1964698931
78	0.196409285
79	0.1958523114
80	0.1954676459
81	0.1947796282
82	0.1933432229
83	0.1932384702
84	0.1932269924
85	0.1924305177
86	0.1911923876
87	0.1906910971
88	0.1901307428
89	0.1901027192
90	0.1896401874
91	0.1886709328
92	0.1879607345
93	0.1871957398
94	0.1853936592
95	0.1841890014
96	0.1833383961
97	0.1823957806
98	0.1815837482
99	0.1802522971
100	0.1789492739
101	0.1776541714
102	0.1768147066
103	0.1752795222
104	0.1747391283
105	0.1741256889
106	0.1730809119
107	0.1724802069
108	0.1718038409
109	0.1711807234
110	0.1707041188
111	0.1701320703
112	0.1698089609
113	0.169123745
114	0.1682458433
115	0.1674042971
116	0.1669603225
117	0.1664519484
118	0.1658343745
