iter	Passed	Remaining
0	1223	977507
1	1523	607927
2	1675	445196
3	2143	426469
4	2743	436142
5	3438	455034
6	4337	491394
7	5206	515481
8	6034	530356
9	6886	544012
10	7745	555537
11	7850	515486
12	8637	522904
13	8963	503248
14	9739	509707
15	10472	513171
16	10598	488162
17	10907	473889
18	11628	478001
19	11818	460903
20	12701	471179
21	12848	454365
22	13723	463631
23	13914	449902
24	14097	437035
25	14971	445698
26	15348	439421
27	15999	441136
28	16107	428249
29	16255	417232
30	16548	410520
31	16730	401531
32	17025	395722
33	17617	396907
34	18149	396688
35	18517	392991
36	18869	389116
37	19591	392857
38	19692	384259
39	19904	378178
40	20311	376014
41	20742	374344
42	20979	369340
43	21123	362939
44	21685	363829
45	21937	359581
46	22123	354451
47	22637	354647
48	22880	350685
49	23734	356017
50	24145	354606
51	24908	358298
52	25262	356061
53	26068	360135
54	26323	356567
55	26843	356636
56	27043	352513
57	27298	349234
58	27997	351635
59	28169	347422
60	28922	350386
61	29505	351211
62	30184	353107
63	30856	354852
64	31627	357631
65	32774	364489
66	33952	371450
67	34643	372926
68	35703	378252
69	36507	380723
70	37209	382047
71	37796	382162
72	38492	383343
73	39509	387620
74	40669	393142
75	41770	397923
76	42683	400782
77	43548	403104
78	44506	406192
79	45612	410512
80	46352	411453
81	47271	413915
82	48138	415848
83	48856	416442
84	49599	417216
85	50292	417540
86	50962	417654
87	51723	418486
88	52457	419072
89	53174	419491
90	53937	420238
91	54652	420583
92	55341	420714
93	55942	420167
94	56563	419758
95	57199	419464
96	57925	419810
97	58683	420361
98	59410	420677
99	60241	421689
100	60857	421183
101	61590	421468
102	62324	421749
103	63041	421896
104	63732	421851
105	64388	421562
106	65044	421268
107	65706	421005
108	66426	421106
109	67054	420614
110	67776	420701
111	68426	420331
112	69126	420265
113	69799	420021
114	70502	419946
115	71174	419683
116	71766	418945
117	72440	418682
118	73122	418454
119	73837	418411
120	74498	418051
121	75195	417887
122	75830	417374
123	76529	417207
124	77233	417060
125	78037	417439
126	78747	417301
127	79414	416924
128	80086	416572
129	80822	416546
130	81530	416365
131	82285	416416
132	82944	415967
133	83817	416587
134	84465	416070
135	85138	415676
136	85787	415162
137	86541	415149
138	87246	414892
139	87898	414377
140	88659	414374
141	89305	413825
142	90101	413961
143	90783	413570
144	91461	413155
145	92176	412902
146	92780	412148
147	93488	411853
148	94284	411939
149	95015	411733
150	95674	411210
151	96296	410529
152	96954	409997
153	97624	409515
154	98332	409191
155	98990	408654
156	99690	408287
157	100436	408100
158	101051	407381
159	101716	406865
160	102409	406458
161	103028	405754
162	103712	405306
163	104354	404692
164	105174	404762
165	105879	404381
166	106517	403747
167	107181	403207
168	107798	402489
169	108547	402263
170	109387	402368
171	110631	403932
172	111530	404215
173	112400	404384
174	113357	404846
175	113983	404123
176	114677	403637
177	115358	403105
178	116052	402616
179	116689	401930
180	117355	401343
181	118114	401070
182	118839	400677
183	119516	400119
184	120223	399660
185	121019	399494
186	121702	398948
187	122300	398127
188	123067	397851
189	123798	397459
190	124500	396967
191	125209	396495
192	125930	396062
193	126561	395340
194	127273	394872
195	127940	394266
196	128690	393910
197	129431	393523
198	130250	393369
199	131081	393245
200	131804	392791
201	132606	392567
202	133316	392069
203	134060	391668
204	134861	391426
205	135697	391282
206	136468	390946
207	137150	390352
208	137805	389679
209	138623	389466
210	139411	389161
211	140264	389034
212	141070	388772
213	141815	388335
214	142631	388091
215	143404	387724
216	144215	387455
217	145070	387299
218	145853	386944
219	146763	386921
220	147446	386295
221	148202	385859
222	148963	385434
223	149666	384857
224	150421	384409
225	151252	384154
226	152152	384067
227	152911	383619
228	153645	383107
229	154382	382600
230	155141	382145
231	155880	381637
232	156615	381120
233	157519	381007
234	158197	380347
235	158892	379726
236	159610	379159
237	160301	378527
238	161049	378028
239	161750	377417
240	162485	376885
241	163177	376251
242	163902	375694
243	164630	375141
244	165354	374578
245	165998	373834
246	166647	373101
247	167371	372536
248	168085	371947
249	168788	371334
250	169452	370636
251	170203	370124
252	170813	369307
253	171521	368703
254	172187	368009
255	172904	367421
256	173543	366669
257	174346	366261
258	175053	365652
259	175689	364894
260	176461	364417
261	177257	363986
