iter	Passed	Remaining
0	563	449935
1	876	349525
2	1149	305285
3	1848	367871
4	2267	360611
5	2767	366205
6	3683	417293
7	4470	442532
8	5392	473917
9	5855	462596
10	6613	474387
11	7664	503331
12	8539	516943
13	9091	510438
14	9198	481370
15	9538	467362
16	10157	467849
17	10759	467451
18	10975	451166
19	11285	440119
20	12136	450193
21	12668	448009
22	12770	431416
23	13579	439085
24	13688	424333
25	13941	415028
26	14262	408331
27	14478	399205
28	15144	402633
29	15678	402426
30	16331	405114
31	16396	393524
32	16553	384750
33	17472	393652
34	17589	384455
35	18341	389251
36	18651	384632
37	18928	379570
38	19035	371442
39	19459	369739
40	19939	369115
41	20098	362725
42	20455	360107
43	20905	359197
44	21503	360789
45	22342	366218
46	22932	367403
47	23174	363070
48	23393	358536
49	23879	358195
50	24316	357117
51	25161	361932
52	25635	361308
53	26306	363417
54	26412	357768
55	26586	353224
56	26824	349663
57	27525	352139
58	28183	353961
59	28911	356571
60	29673	359481
61	30440	362335
62	31091	363716
63	31860	366392
64	32625	368917
65	33350	370894
66	34083	372886
67	34797	374587
68	35531	376426
69	36272	378271
70	37008	379990
71	37719	381386
72	38438	382803
73	39171	384305
74	39883	385541
75	40607	386838
76	41343	388200
77	42002	388793
78	42778	390419
79	43568	392120
80	44305	393277
81	44998	394007
82	45685	394653
83	46405	395554
84	47109	396271
85	47769	396599
86	48410	396739
87	49216	398210
88	50983	407295
89	51748	408241
90	52448	408638
91	53077	408463
92	53871	409542
93	54663	410559
94	55743	413672
95	56752	416186
96	57492	416672
97	58588	419686
98	59406	420643
99	60216	421516
100	60990	422100
101	61751	422574
102	62552	423292
103	63325	423795
104	64019	423747
105	64763	424016
106	65482	424103
107	66241	424436
108	66969	424549
109	67786	425206
110	68577	425671
111	69346	425986
112	70038	425808
113	70819	426162
114	71504	425916
115	72224	425875
116	72981	426037
117	73803	426558
118	74570	426741
119	75414	427349
120	76104	427067
121	76838	427021
122	77554	426863
123	78304	426884
124	79043	426834
125	79808	426912
126	80542	426810
127	81293	426792
128	81986	426458
129	82644	425938
130	83359	425704
131	84070	425450
132	84736	424954
133	85520	425048
134	86212	424675
135	86984	424688
136	87698	424410
137	88477	424434
138	89213	424244
