iter	Logloss
0	0.5037729018
1	0.4135703923
2	0.3742220067
3	0.3197271912
4	0.2991682606
5	0.2885910665
6	0.2710961648
7	0.2564189213
8	0.2480429901
9	0.2436452041
10	0.2403617043
11	0.2372906037
12	0.2306635753
13	0.2284586259
14	0.2283489311
15	0.2273616517
16	0.2224501957
17	0.2213516831
18	0.2212457837
19	0.2187491491
20	0.2168125481
21	0.2147678632
22	0.2147676538
23	0.2125904638
24	0.2125534052
25	0.2121482109
26	0.2119732268
27	0.210781278
28	0.2102892365
29	0.206799476
30	0.2066112273
31	0.2066111754
32	0.2065146628
33	0.2064182669
34	0.2063180678
35	0.2044611449
36	0.2043856879
37	0.2042965988
38	0.2041714117
39	0.2041030835
40	0.2038518074
41	0.2031995591
42	0.2019181965
43	0.2017257078
44	0.2007526901
45	0.200346632
46	0.19930558
47	0.1987152841
48	0.1978199201
49	0.1966865709
50	0.196220532
51	0.1946699475
52	0.1930816799
53	0.1918412884
54	0.1918158138
55	0.19180486
56	0.191057142
57	0.1888046229
58	0.1874982708
59	0.1849021601
60	0.1831419275
61	0.1796575838
62	0.1780538506
63	0.1761455756
64	0.1741536356
65	0.1730039824
66	0.1711916017
67	0.1696748153
68	0.1677133543
69	0.1668936081
70	0.1658088444
71	0.1646569437
72	0.163715406
73	0.1620884469
74	0.1611975695
75	0.1601029346
76	0.1590701827
77	0.1584574185
78	0.1577324291
79	0.1567462471
80	0.1562570797
81	0.155507528
82	0.1548320134
83	0.1542049002
84	0.1537737956
85	0.1533989948
86	0.1529605916
87	0.1525389241
88	0.1519846184
89	0.1516225863
90	0.1509667537
91	0.1506376511
92	0.1500155143
93	0.1497030534
94	0.1490993094
95	0.1487024699
96	0.1483598339
97	0.1481394257
98	0.1474678726
99	0.1468529972
100	0.1466085475
101	0.1461253625
102	0.1455809248
103	0.145277657
104	0.1449822612
105	0.1446877607
106	0.1444822324
107	0.1441913618
108	0.1439321322
109	0.1433604078
110	0.1430189062
111	0.1428018998
112	0.1423306455
113	0.1419299615
114	0.1415830801
115	0.1413275429
116	0.1410856104
117	0.1408916783
118	0.1405537184
119	0.1400026632
120	0.1397361003
121	0.1394014069
122	0.1391604184
123	0.1388730245
124	0.1386701346
125	0.1383428293
126	0.1379643897
127	0.1376486571
128	0.1374740601
129	0.1372116296
130	0.1366110035
131	0.1362286108
132	0.1360753989
133	0.1358100843
134	0.1353563793
135	0.1349817239
136	0.134644603
137	0.1344365368
138	0.1341560122
139	0.1339582579
140	0.1336475539
141	0.1333022214
142	0.1329929425
143	0.1328247466
144	0.1326652215
145	0.1324340804
146	0.1321948536
147	0.131879274
148	0.1316039722
149	0.1314714762
150	0.1311467786
151	0.1309480636
152	0.1309414917
153	0.130799608
154	0.1306277622
155	0.1306230676
156	0.1305424219
157	0.1303111715
158	0.1301078158
159	0.1297858375
160	0.1293635886
161	0.1291148371
162	0.1289724145
163	0.1286959341
164	0.1286897878
165	0.1284657273
166	0.1281280089
167	0.1279906514
168	0.1276222144
169	0.1274957817
170	0.1272684065
171	0.1270357405
172	0.1269362763
173	0.1265784598
174	0.1263563644
175	0.1261596791
176	0.1258193778
177	0.1258144318
178	0.1254660602
179	0.1252378049
180	0.1249789649
181	0.1247503647
182	0.1246047873
183	0.12416018
184	0.1239606587
185	0.1237218318
186	0.1234064407
187	0.1232645849
188	0.1230548003
189	0.1227733688
190	0.1225990487
191	0.1223663652
192	0.1222628186
193	0.1221806694
194	0.1219644779
195	0.1217707764
196	0.1216002208
197	0.1212942247
198	0.121131282
199	0.1206812078
200	0.1203569352
201	0.1202337611
202	0.1201152488
203	0.1198697162
204	0.1197117664
205	0.1196012539
206	0.11946623
207	0.1193848092
208	0.119119895
209	0.1191115974
210	0.118721067
211	0.1184738296
212	0.1183618815
213	0.1182111708
214	0.1180858223
215	0.117840138
216	0.1177266478
217	0.1176602715
218	0.1174621567
219	0.1172615578
220	0.1169688902
221	0.1167536971
222	0.1166199517
223	0.1164650476
224	0.116219086
225	0.1160547836
226	0.1158139789
227	0.1157756501
228	0.1155905297
229	0.1154473566
230	0.1151496097
231	0.1149263711
232	0.1147917053
233	0.1146970206
234	0.1146082783
235	0.1144471414
236	0.1143105568
237	0.114167286
238	0.114093919
239	0.1140070131
240	0.1139000381
241	0.1137392001
242	0.1136488025
243	0.1135279323
244	0.1134921176
245	0.1131986554
246	0.1130040882
247	0.1128022607
248	0.1126193468
249	0.1122459586
250	0.111963887
251	0.1118435652
252	0.1118297511
253	0.1116303247
254	0.1115398463
255	0.1113897839
256	0.1113110788
257	0.1110070684
258	0.1108923501
259	0.1106907792
260	0.1105482132
261	0.1103500404
262	0.1102674446
263	0.1101569971
264	0.1100823541
265	0.1099677214
266	0.1098395693
267	0.1097136944
268	0.1095647989
269	0.1093725005
270	0.1092491671
271	0.1090899323
272	0.1090413515
273	0.1088895376
274	0.1088183185
275	0.1086844713
276	0.1085291697
277	0.1084242763
278	0.1082727255
279	0.1080747326
