iter	Passed	Remaining
0	446	356749
1	669	267329
2	1427	379244
3	1675	333336
4	2409	383103
5	3126	413723
6	3864	437759
7	4480	443543
8	4883	429225
9	5199	410732
10	5890	422518
11	6551	430239
12	7139	432234
13	8006	449503
14	8919	466776
15	9829	481664
16	10235	471454
17	10312	448002
18	11063	454787
19	11570	451247
20	11757	436157
21	12359	437091
22	12556	424187
23	13392	433010
24	13495	418362
25	13881	413255
26	13941	399139
27	14143	389965
28	14907	396337
29	15421	395817
30	15481	384035
31	16155	387724
32	16585	385478
33	17130	385938
34	17258	377227
35	17992	381849
36	18209	375501
37	19065	382309
38	19223	375103
39	19967	379383
40	20638	382072
41	20843	376172
42	20903	367998
43	20964	360212
44	21066	353441
45	21464	351833
46	21645	346791
47	21765	340991
48	21981	336906
49	22041	330619
50	22299	327503
51	23044	331482
52	23101	325605
53	23684	327193
54	24395	330451
55	25075	333146
56	25443	331656
57	25725	329110
58	26251	329699
59	26892	331668
60	27600	334375
61	28251	336289
62	28970	338903
63	29602	340431
64	30204	341539
65	30807	342618
66	31507	344704
67	32217	346815
68	32893	348483
69	33618	350588
70	34305	352238
71	34915	353029
72	35627	354814
73	36317	356302
74	37012	357788
75	37671	358869
76	38366	360249
77	39042	361394
78	39693	362264
79	40320	362885
80	40940	363408
81	41697	365106
82	42471	366895
83	43157	367869
84	43863	368969
85	44493	369397
86	45179	370263
87	45828	370797
88	46523	371663
89	47168	372106
90	47826	372628
91	48486	373132
92	49073	373062
93	49751	373668
94	50431	374257
95	51080	374589
96	51771	375206
97	52552	376450
98	53224	376870
99	53885	377201
100	54531	377400
101	55248	378071
102	55929	378473
103	56556	378492
104	57181	378490
105	57912	379161
106	58698	380168
107	59363	380367
108	60072	380828
109	60758	381120
110	61473	381578
111	62171	381912
112	62865	382199
113	63703	383336
114	64362	383375
115	65037	383495
116	65703	383550
117	66429	383939
118	67071	383830
119	67775	384062
120	68513	384466
121	69235	384766
122	70047	385547
123	70749	385697
124	71485	386019
125	72229	386369
126	72945	386555
127	73600	386400
128	74310	386528
129	74998	386528
130	75764	386918
131	76452	386897
132	77111	386714
133	77744	386403
134	78459	386483
135	79151	386444
136	79781	386096
137	80455	385952
138	81137	385840
139	81800	385632
140	82523	385694
141	83211	385587
142	83883	385393
143	84573	385278
144	85259	385136
145	86024	385344
146	86908	386061
147	87877	387138
148	88743	387733
149	89387	387343
150	90060	387081
151	90789	387050
152	91552	387154
153	92296	387163
154	93144	387602
155	93916	387706
156	95256	390128
157	96408	391737
158	97075	391356
159	97829	391317
160	98599	391336
161	99333	391202
162	99966	390664
163	100678	390435
164	101366	390107
165	102093	389925
166	102819	389728
167	103821	390567
168	104554	390378
169	105305	390249
170	105959	389756
171	106684	389522
172	107334	389009
173	108010	388589
174	108690	388180
175	109379	387800
176	110090	387493
177	110867	387412
178	111600	387173
179	112369	387051
180	112980	386380
181	113655	385930
182	114512	386087
183	115197	385661
184	115843	385100
185	116631	385009
186	117356	384703
187	118032	384234
188	118801	384061
189	119531	383759
190	120173	383172
191	120853	382702
192	121596	382429
193	122291	382003
194	123100	381928
195	123713	381238
196	124439	380900
197	125101	380358
198	125842	380055
199	126589	379768
200	127384	379619
201	128083	379179
202	128846	378923
203	129585	378591
204	130300	378187
205	130951	377596
206	131646	377132
207	132323	376612
208	133070	376291
209	133759	375800
210	134338	375002
211	135070	374629
212	135713	374007
213	136454	373655
214	137165	373217
215	137867	372754
216	138566	372277
217	139217	371673
218	140004	371427
219	140737	371035
220	141503	370727
221	142188	370201
222	142907	369764
223	143757	369662
224	144564	369443
225	145300	369037
226	146091	368768
227	146806	368304
228	147419	367582
229	148150	367156
230	148790	366501
231	149605	366275
232	150346	365865
233	151153	365609
234	151866	365126
235	152631	364762
236	153353	364295
237	154146	363991
238	154885	363559
239	155631	363140
240	156353	362661
241	157114	362272
242	157884	361900
243	158763	361772
244	159595	361531
245	160377	361175
246	161023	360509
247	161669	359843
248	162284	359112
249	162947	358483
250	163669	357987
251	164253	357186
252	164977	356690
253	165601	355977
254	166320	355469
255	167040	354961
256	167743	354415
257	168456	353889
258	169247	353524
259	173858	361091
260	175866	363188
261	176677	362794
262	177860	363159
263	178717	362851
264	179699	362790
265	180724	362807
266	181652	362625
267	182737	362748
268	183438	362103
269	184197	361573
